# x_m,y_m,w_tr_right_m,w_tr_left_m
1261.421,-316.908,6.000,6.000
1265.423,-315.528,6.000,6.000
1266.730,-312.291,6.000,6.000
1264.330,-308.806,6.000,6.000
1261.282,-305.871,6.000,6.000
1257.696,-303.619,6.000,6.000
1253.830,-301.885,6.000,6.000
1249.822,-300.500,6.000,6.000
1245.654,-299.742,6.000,6.000
1241.447,-299.200,6.000,6.000
1237.226,-298.781,6.000,6.000
1232.997,-298.457,6.000,6.000
1228.763,-298.207,6.000,6.000
1224.526,-298.020,6.000,6.000
1220.287,-297.888,6.000,6.000
1216.046,-297.836,6.000,6.000
1211.804,-297.853,6.000,6.000
1207.564,-297.939,6.000,6.000
1203.325,-298.099,6.000,6.000
1199.092,-298.361,6.000,6.000
1194.867,-298.730,6.000,6.000
1190.653,-299.207,6.000,6.000
1186.454,-299.806,6.000,6.000
1182.278,-300.543,6.000,6.000
1178.133,-301.438,6.000,6.000
1174.029,-302.506,6.000,6.000
1169.978,-303.760,6.000,6.000
1165.992,-305.208,6.000,6.000
1162.090,-306.867,6.000,6.000
1158.303,-308.773,6.000,6.000
1154.675,-310.965,6.000,6.000
1151.271,-313.490,6.000,6.000
1148.191,-316.399,6.000,6.000
1145.576,-319.732,6.000,6.000
1143.448,-323.393,6.000,6.000
1141.830,-327.309,6.000,6.000
1140.760,-331.411,6.000,6.000
1140.081,-335.595,6.000,6.000
1139.693,-339.818,6.000,6.000
1139.508,-344.055,6.000,6.000
1139.462,-348.296,6.000,6.000
1140.007,-352.498,6.000,6.000
1140.666,-356.688,6.000,6.000
1141.371,-360.870,6.000,6.000
1142.179,-365.033,6.000,6.000
